DV1_disp_2,DV2_U_shape_thick,DV3_Star_Start,DV4_projection_angle,DV5_t,DV6_ellipse_depth,DV7_ellipse_alpha,Run
4.781462815,3.669080625,15.75173236,161.9024046,1.86735428,7.14479195,0.945365826,Run78
4.801540979,3.418043495,15.67527622,164.6008569,2.739516488,7.059649502,0.99417834,Run79
4.695386355,2.703770714,16.03577884,160.0864322,2.950066135,7.408718858,0.985178387,Run80
4.042881131,2.088846627,17.97923078,177.3891243,1.916469245,7.158242162,1.046096186,Run81
5.442883396,4.19986449,17.22911079,167.8153536,1.922789404,7.476800817,0.933264917,Run82
4.258499104,2.984467181,16.74726839,161.478657,2.599733932,7.357494138,0.973575112,Run83
3.686187959,3.650586346,16.25651859,170.4006871,1.514852185,7.457622863,1.099052834,Run85
5.395282435,2.823606104,16.95309004,175.6629834,2.060756937,7.309512281,1.101469108,Run86
4.557603881,3.052604906,16.22097872,163.1170395,1.817074667,7.973556105,0.961706641,Run88
5.191828756,2.74245606,16.40230036,165.8417883,1.749178484,7.912920937,1.033282071,Run89
4.93049658,3.790002559,15.72849574,166.8084722,2.829367728,7.293927258,1.052476666,Run90
4.740905577,2.874498247,15.86638602,174.4483954,2.928610201,7.715394615,1.097450171,Run99
