ODB Name,Vertical Stiffness,Max Slip Angle,Max Slip Distance,Bending Moment,Torque,Center Disp Gap(subrot),Center Disp Gap(rot),Max Stress
Add_Run12,315.53328331440906,1.3818069610991883,0.6230367190860421,9160.9326171875,1495.567741880137,0.2314014434814453,0.7350082397460938,5.318716049194336
Add_Run13,214.9349673265135,1.4352982558533085,0.8996758579014557,7719.87060546875,1668.77125524619,0.3413867950439453,0.4189929962158203,6.483483791351318
Add_Run15,45.33789307287781,1.1594144926113756,1.0705182858732063,3984.07177734375,766.4754458824634,0.7012615203857422,0.6450061798095703,4.326006889343262
Add_Run16,40.704241681434986,1.0523044945412474,1.220454089311289,4849.49951171875,1148.729971877726,0.6669692993164062,2.103553771972656,4.2995147705078125
Add_Run17,163.86218967151802,1.9091959575192,1.1487961328471898,4614.623046875,1461.778871638402,0.2296028137207031,0.6481285095214844,4.559347152709961
Add_Run19,253.41144171838448,1.3730122875327264,0.9191752093983752,3629.468505859375,1409.736727152536,0.2625083923339844,0.947772979736328,3.94144868850708
Add_Run26,133.51102388806174,1.441257410528213,1.2889591489991952,2916.46337890625,1187.6505262847102,0.3828926086425781,1.3652095794677734,4.846246719360352
Add_Run27,55.52114257071351,1.29584768321825,0.8498660276825768,6859.583984375,2005.4335211971863,0.4933700561523437,0.3422317504882812,4.766326904296875
Add_Run28,197.08247606111715,1.4209354479497287,0.7734893895378203,9033.4501953125,2072.024842097521,0.3320598602294922,0.3129425048828125,5.346240997314453
Add_Run31,167.86347773188615,2.0218217417553976,1.6989702270013594,2676.47705078125,491.223685485,0.3050956726074219,1.2829265594482422,3.548776149749756
Add_Run37,39.53846849972097,1.2322869340004912,1.1202754137608075,2346.235107421875,599.4929032159324,0.7527332305908203,0.9070205688476562,3.9606821537017822
Run2,95.38255167052152,1.2550031179546293,1.3812897217438065,4203.91259765625,1029.3595311966783,0.298532485961914,0.4744453430175781,3.9376063346862793
Run6,210.6866057100605,1.7629509464687805,1.8116906913739008,2525.94482421875,565.0865118464459,0.4646778106689453,1.0588321685791016,3.47700834274292
Run12,295.5922316230225,1.5006241919796288,1.6611064276716565,3463.91748046875,556.637970181492,0.2410030364990234,0.6207675933837891,3.907524108886719
Run14,127.47280534119146,7.658614687254561,1.4837231767053922,4659.90673828125,808.446821335702,0.3117599487304687,0.4527206420898437,3.5889642238616943
Run15,436.7926152615706,3.1177553169774974,0.8947575328349164,5090.5458984375,1378.3641027717656,0.2527065277099609,0.5871162414550781,4.424412250518799
Run16,405.3376215731449,1.2834185491159182,0.9783570986839732,7068.904296875,1348.342590683704,0.21575927734375,0.6815090179443359,4.746345043182373
Run17,56.99307110147093,1.3490614802344276,1.2586428484284409,4587.7646484375,1100.3589696385222,0.44580078125,1.313222885131836,4.702060222625732
Run21,186.8218067100128,1.5666744094873155,1.3131420791241477,3448.22119140625,537.0554441219715,0.3297710418701172,0.3514461517333984,3.347665786743164
Run23,166.9473067468253,1.469611186427091,1.5658571650615325,3588.783203125,867.7947274790084,0.4169235229492187,0.6661319732666016,4.087451457977295
Run24,255.91502821328856,1.3230369893592322,1.1725611603846882,4905.81005859375,1206.3558018632357,0.1982975006103515,0.8950634002685547,3.8435113430023193
